Topic,Articles
psychosis,"['https://www.betterhelp.com/advice/psychosis/somatic-delusions-sensing-the-signs/', 'https://www.betterhelp.com/advice/psychosis/help-i-hear-voices-in-my-head/', 'https://www.betterhelp.com/advice/psychosis/what-are-psychotic-symptoms/', 'https://www.betterhelp.com/advice/psychosis/how-to-overcome-persecutory-delusions/']"
psychotherapy,"['https://www.betterhelp.com/advice/psychotherapy/how-to-become-a-psychotherapist-education-career-considerations-and-more/', 'https://www.betterhelp.com/advice/psychotherapy/what-is-interpersonal-psychotherapy/', 'https://www.betterhelp.com/advice/psychotherapy/the-pros-and-cons-of-group-psychotherapy/', 'https://www.betterhelp.com/advice/psychotherapy/what-is-transference-focused-psychotherapy/', 'https://www.betterhelp.com/advice/psychotherapy/what-is-cognitive-psychotherapy/', 'https://www.betterhelp.com/advice/psychotherapy/how-different-psychotherapy-techniques-can-impact-you/', 'https://www.betterhelp.com/advice/psychotherapy/what-is-psychodynamic-psychotherapy/', 'https://www.betterhelp.com/advice/psychotherapy/im-looking-for-psychotherapy-near-me-what-are-the-best-options/', 'https://www.betterhelp.com/advice/psychotherapy/how-effective-is-psychotherapy-for-anxiety/']"
ptsd,"['https://www.betterhelp.com/advice/ptsd/do-i-have-post-traumatic-stress-disorder-a-ptsd-questionnaire/', 'https://www.betterhelp.com/advice/ptsd/how-to-treat-ptsd-and-regain-your-mental-well-being/', 'https://www.betterhelp.com/advice/ptsd/identifying-ptsd-symptoms-in-women/', 'https://www.betterhelp.com/advice/ptsd/ptsd-hotline-when-and-how-to-use-hotlines-for-ptsd-minus-38/', 'https://www.betterhelp.com/advice/ptsd/is-it-a-ptsd-attack-knowing-the-signs-and-symptoms/', 'https://www.betterhelp.com/advice/ptsd/22-symptoms-of-ptsd-in-adults/', 'https://www.betterhelp.com/advice/ptsd/5-ptsd-physical-symptoms-to-watch-for/', 'https://www.betterhelp.com/advice/ptsd/what-are-the-ptsd-criteria-for-diagnosis-2/', 'https://www.betterhelp.com/advice/ptsd/healing-from-ptsd-art-and-expression-as-a-treatment-modality/', 'https://www.betterhelp.com/advice/ptsd/how-to-identify-delayed-onset-ptsd/', 'https://www.betterhelp.com/advice/ptsd/acute-stress-disorder-vs-ptsd-similarities-and-differences/', 'https://www.betterhelp.com/advice/ptsd/what-you-might-not-know-about-ptsd-psychosis-and-paranoia/']"
punishment,"['https://www.betterhelp.com/advice/punishment/understanding-cruel-and-unusual-punishment/', 'https://www.betterhelp.com/advice/punishment/are-you-a-glutton-for-punishment-ways-to-stop/', 'https://www.betterhelp.com/advice/punishment/what-is-vicarious-punishment-and-how-does-it-work/', 'https://www.betterhelp.com/advice/punishment/the-long-and-short-term-effects-of-self-punishment/', 'https://www.betterhelp.com/advice/punishment/what-is-corporal-punishment/', 'https://www.betterhelp.com/advice/punishment/10-positive-punishment-techniques-their-effect/']"
rejection,"['https://www.betterhelp.com/advice/rejection/8-tips-for-dealing-with-embarrassment/', 'https://www.betterhelp.com/advice/rejection/feeling-like-a-burden-what-it-means-and-how-to-overcome-it/', 'https://www.betterhelp.com/advice/rejection/the-science-behind-rejection-the-meaning-definition-rejected-synonyms/', 'https://www.betterhelp.com/advice/rejection/how-to-deal-with-rejection-the-right-way/', 'https://www.betterhelp.com/advice/rejection/why-social-rejection-does-not-have-to-define-you/', 'https://www.betterhelp.com/advice/rejection/how-to-respond-to-a-job-rejection-in-a-way-that-benefits-you/']"
Relationship Stress,"['https://www.betterhelp.com/advice/relations/how-to-feel-confident-in-awkward-social-situations/', 'https://www.betterhelp.com/advice/relations/10-signs-that-you-might-be-in-a-negative-relationship/', 'https://www.betterhelp.com/advice/relations/how-to-move-on-from-a-relationship-and-start-healing/', 'https://www.betterhelp.com/advice/relations/the-importance-of-communication-in-a-relationship/', 'https://www.betterhelp.com/advice/relations/is-it-time-to-seek-relationship-therapy-what-to-do-in-a-relationship-when-youre-not-happy/', 'https://www.betterhelp.com/advice/relations/how-to-know-when-your-romantic-relationship-is-over-and-3-real-life-ways-to-cope/', 'https://www.betterhelp.com/advice/relations/5-signs-youre-in-a-rebound-relationship-and-how-to-bounce-back/', 'https://www.betterhelp.com/advice/relations/our-obsession-with-power-couples-characteristics-of-power-relationships/', 'https://www.betterhelp.com/advice/relations/what-is-aromantic-and-what-does-it-mean-for-relationships/', 'https://www.betterhelp.com/advice/relations/helpful-relationship-quotes/', 'https://www.betterhelp.com/advice/relations/the-importance-of-having-supportive-friendships/', 'https://www.betterhelp.com/advice/relations/what-is-romantic-attraction-how-to-recognize-and-better-understand-it/']"
resilience,"['https://www.betterhelp.com/advice/resilience/how-to-stay-strong-in-the-face-of-adversity/', 'https://www.betterhelp.com/advice/resilience/dissecting-the-origins-and-meanings-of-resilience-quotes/', 'https://www.betterhelp.com/advice/resilience/resilience-counseling-is-a-resilience-treatment-center-worth-your-time/', 'https://www.betterhelp.com/advice/resilience/resilience-definition-and-how-to-increase-it/', 'https://www.betterhelp.com/advice/resilience/12-reasons-for-developing-greater-emotional-resilience/', 'https://www.betterhelp.com/advice/resilience/how-resilience-training-can-change-your-life-for-the-better/', 'https://www.betterhelp.com/advice/resilience/connor-davidson-resilience-scale-what-it-measures-and-how-it-helps/']"
schizophrenia,"['https://www.betterhelp.com/advice/schizophrenia/everything-you-need-to-know-about-dsm-v-schizophrenia/', 'https://www.betterhelp.com/advice/schizophrenia/do-i-have-schizophrenia-and-what-should-i-do-now/']"
self-esteem,"['https://www.betterhelp.com/advice/self-esteem/struggling-with-a-lack-of-self-confidence-read-this-to-build-healthy-self-esteem/', 'https://www.betterhelp.com/advice/self-esteem/overwhelmed-in-life-how-to-learn-to-say-no/', 'https://www.betterhelp.com/advice/self-esteem/how-to-rise-above-feelings-of-inadequacy/', 'https://www.betterhelp.com/advice/self-esteem/boost-your-self-esteem-activities-and-tips-to-help/', 'https://www.betterhelp.com/advice/self-esteem/how-to-cope-with-feeling-inadequate-and-become-more-confident-in-the-process/', 'https://www.betterhelp.com/advice/self-esteem/why-self-worth-matters-and-how-to-improve-it/', 'https://www.betterhelp.com/advice/self-esteem/the-media-and-body-image-how-it-impacts-your-self-esteem/', 'https://www.betterhelp.com/advice/self-esteem/steps-to-overcome-self-consciousness/', 'https://www.betterhelp.com/advice/self-esteem/insecure-define-and-manage-it/', 'https://www.betterhelp.com/advice/self-esteem/the-difference-between-concrete-vs-abstract-thinking/', 'https://www.betterhelp.com/advice/self-esteem/how-to-better-understand-yourself-via-character-survey/', 'https://www.betterhelp.com/advice/self-esteem/how-to-overcome-self-doubt-and-succeed/']"
sleep,"['https://www.betterhelp.com/advice/sleep/what-is-depression-insomnia/', 'https://www.betterhelp.com/advice/sleep/what-happens-if-i-have-sleep-deprivation-and-depression/', 'https://www.betterhelp.com/advice/sleep/how-to-treat-insomnia-in-4-steps/', 'https://www.betterhelp.com/advice/sleep/how-to-deal-with-insomnia-11-tips-from-the-experts/', 'https://www.betterhelp.com/advice/sleep/what-does-insomnia-mean-your-insomnia-questions-answered/', 'https://www.betterhelp.com/advice/sleep/the-secret-behind-how-to-get-a-good-night-sleep-naturally/', 'https://www.betterhelp.com/advice/sleep/tips-for-better-sleep-from-the-experts/', 'https://www.betterhelp.com/advice/sleep/how-to-get-a-good-nights-sleep-when-stressed/', 'https://www.betterhelp.com/advice/sleep/treatment-for-insomnia-how-to-get-the-sleep-you-need/', 'https://www.betterhelp.com/advice/sleep/how-are-depression-and-insomnia-related/', 'https://www.betterhelp.com/advice/sleep/natural-insomnia-treatments-to-try/', 'https://www.betterhelp.com/advice/sleep/why-is-good-sleep-so-important/']"
sociopathy,"['https://www.betterhelp.com/advice/sociopathy/is-there-a-mental-health-reason-for-showing-no-emotion/', 'https://www.betterhelp.com/advice/sociopathy/traits-of-a-high-functioning-sociopath/', 'https://www.betterhelp.com/advice/sociopathy/dsm-5-sociopath-diagnostic-definitions-and-symptoms/', 'https://www.betterhelp.com/advice/sociopathy/sociopath-definition-and-symptoms/', 'https://www.betterhelp.com/advice/sociopathy/how-to-deal-with-a-sociopath/', 'https://www.betterhelp.com/advice/sociopathy/understanding-the-sociopath-test-and-what-it-means-for-you/', 'https://www.betterhelp.com/advice/sociopathy/the-difference-between-a-psychopath-vs-sociopath-might-surprise-you/', 'https://www.betterhelp.com/advice/sociopathy/what-is-a-sociopath-symptoms-traits-treatments/', 'https://www.betterhelp.com/advice/sociopathy/the-difference-between-a-sociopath-and-narcissistic-sociopath/', 'https://www.betterhelp.com/advice/sociopathy/psychopath-vs-sociopath-the-telltale-signs-differences/']"
stage-fright,"['https://www.betterhelp.com/advice/stage-fright/13-tips-to-overcome-stage-fright/', 'https://www.betterhelp.com/advice/stage-fright/10-tips-to-get-over-a-fear-of-public-speaking/']"
Gender issues,"['https://www.betterhelp.com/advice/stereotypes/22-ways-to-overcome-gender-stereotypes/', 'https://www.betterhelp.com/advice/stereotypes/how-gender-stereotypes-in-the-media-harm-society/']"
stress,"['https://www.betterhelp.com/advice/stress/feeling-overwhelmed-learn-these-stress-management-strategies/', 'https://www.betterhelp.com/advice/stress/how-to-stop-stressing-7-tips-to-find-balance-and-relax/', 'https://www.betterhelp.com/advice/stress/how-stress-can-lead-to-emotional-breakdowns-and-what-you-can-do-to-avoid-it/', 'https://www.betterhelp.com/advice/stress/how-does-stress-affect-the-body-symptoms-and-solutions/', 'https://www.betterhelp.com/advice/stress/are-you-under-too-much-stress-symptoms-treatment-and-tips/', 'https://www.betterhelp.com/advice/stress/7-tips-on-how-to-handle-stressful-situations/', 'https://www.betterhelp.com/advice/stress/stress-management-that-works-how-to-be-less-stressed/', 'https://www.betterhelp.com/advice/stress/how-to-cope-with-stress-during-lifes-challenges/', 'https://www.betterhelp.com/advice/stress/coping-mechanisms-for-stress-what-works-and-what-doesnt/', 'https://www.betterhelp.com/advice/stress/seven-warning-signs-of-stress-you-should-know/', 'https://www.betterhelp.com/advice/stress/six-ways-to-overcome-stress-at-work/', 'https://www.betterhelp.com/advice/stress/compassion-fatigue-and-you-how-to-avoid-burnout-and-prioritize-self-care/']"
success-stories,"['https://www.betterhelp.com/advice/success-stories/ive-felt-better-and-i-know-exactly-why-self-care-becca/', 'https://www.betterhelp.com/advice/success-stories/i-learned-how-to-chart-a-course-for-a-healthier-and-happier-future-bobby/', 'https://www.betterhelp.com/advice/success-stories/i-now-know-that-i-am-capable-of-doing-anything-sara/', 'https://www.betterhelp.com/advice/success-stories/after-using-betterhelp-i-feel-happy-when-i-didnt-think-i-ever-could-again-marlie-martin/', 'https://www.betterhelp.com/advice/success-stories/how-betterhelp-helped-me-to-be-a-stronger-mother-and-confident-woman-rebecca-jump/', 'https://www.betterhelp.com/advice/success-stories/betterhelp-helped-me-see-my-issues-from-new-perspectives-and-establish-boundaries-within-myself-peter/', 'https://www.betterhelp.com/advice/success-stories/looking-forward-to-continue-to-grow-into-the-best-version-of-me-through-help-from-betterhelp-michael-vaughn/', 'https://www.betterhelp.com/advice/success-stories/how-betterhelp-helped-me-to-be-a-recovering-pessimist-and-a-solution-oriented-individual-jennifer/', 'https://www.betterhelp.com/advice/success-stories/how-betterhelp-helped-me-fight-my-inner-critic-garett/', 'https://www.betterhelp.com/advice/success-stories/how-direct-and-consistent-access-to-my-counselor-has-been-a-huge-blessing-sarah-day/', 'https://www.betterhelp.com/advice/success-stories/how-betterhelp-helped-me-realized-things-that-ive-never-even-been-able-to-acknowledge-myself-anita/', 'https://www.betterhelp.com/advice/success-stories/how-my-betterhelp-helped-me-feel-alive-again-hitting-the-bottom-of-my-life/']"
synesthesia,"['https://www.betterhelp.com/advice/synesthesia/what-is-synesthesia-disorder-and-how-to-cope-with-it/', 'https://www.betterhelp.com/advice/synesthesia/what-happens-during-a-synesthesia-test/', 'https://www.betterhelp.com/advice/synesthesia/understanding-the-synesthesia-definition/', 'https://www.betterhelp.com/advice/synesthesia/what-is-mirror-touch-synesthesia/', 'https://www.betterhelp.com/advice/synesthesia/the-many-types-of-synesthesia-explained/', 'https://www.betterhelp.com/advice/synesthesia/synesthesia-music-as-a-color-or-a-smell/']"
teamwork,"['https://www.betterhelp.com/advice/teamwork/understanding-the-teamwork-definition-in-relationships/', 'https://www.betterhelp.com/advice/teamwork/15-teamwork-activities-for-any-group/', 'https://www.betterhelp.com/advice/teamwork/6-tips-for-encouraging-teamwork-in-the-workplace/', 'https://www.betterhelp.com/advice/teamwork/teamwork-makes-the-dream-work-investing-in-teams/', 'https://www.betterhelp.com/advice/teamwork/7-tips-to-help-you-improve-your-teamwork-skills/', 'https://www.betterhelp.com/advice/teamwork/importance-of-teamwork-in-relationships-and-business/']"
teenagers,"['https://www.betterhelp.com/advice/teenagers/what-signs-of-depression-in-teens-should-i-look-out-for/', 'https://www.betterhelp.com/advice/teenagers/how-to-get-help-for-troubled-teenagers-6-tips-for-parents/', 'https://www.betterhelp.com/advice/teenagers/teenage-drug-use-and-abuse-what-is-the-number-one-drug-used-by-teens/', 'https://www.betterhelp.com/advice/teenagers/parents-need-to-know-what-is-the-number-one-killer-of-teenagers/', 'https://www.betterhelp.com/advice/teenagers/how-much-sleep-do-teenagers-need/']"
temperament,"['https://www.betterhelp.com/advice/temperament/how-to-overcome-emotional-reactivity-and-build-emotional-stability/', 'https://www.betterhelp.com/advice/temperament/thomas-and-chess-temperament-type-longitudinal-study-and-findings/', 'https://www.betterhelp.com/advice/temperament/how-do-i-know-what-a-childs-temperament-is-likely-to-be/', 'https://www.betterhelp.com/advice/temperament/what-does-a-temperament-test-tell-me-about-myself-and-where-can-i-take-one/', 'https://www.betterhelp.com/advice/temperament/what-is-the-choleric-temperament/', 'https://www.betterhelp.com/advice/temperament/temperament-definition-types-and-disorders/', 'https://www.betterhelp.com/advice/temperament/15-benefits-and-traits-of-sanguine-temperament/', 'https://www.betterhelp.com/advice/temperament/what-can-the-keirsey-temperament-sorter-reveal-about-me/', 'https://www.betterhelp.com/advice/temperament/4-most-common-temperament-types/', 'https://www.betterhelp.com/advice/temperament/17-benefits-and-traits-of-a-melancholic-temperament/']"
tests,"['https://www.betterhelp.com/advice/tests/hospital-anxiety-and-depression-scale-how-psychological-tests-can-improve-your-outcome/', 'https://www.betterhelp.com/advice/tests/is-it-addictive-personality-test-for-addictive-personality-online/', 'https://www.betterhelp.com/advice/tests/am-i-bipolar-using-a-bipolar-questionnaire-to-determine-symptoms/', 'https://www.betterhelp.com/advice/tests/self-evaluation-and-getting-help-using-a-hypomania-test/', 'https://www.betterhelp.com/advice/tests/is-an-online-dysthymia-test-reliable/', 'https://www.betterhelp.com/advice/tests/what-is-an-emotional-intelligence-test-used-for/', 'https://www.betterhelp.com/advice/tests/what-is-the-gardner-multiple-intelligence-test-and-how-is-it-used/', 'https://www.betterhelp.com/advice/tests/the-introvert-vs-extrovert-personality-test-why-you-should-care/', 'https://www.betterhelp.com/advice/tests/where-to-find-a-free-mental-health-test-and-do-you-need-one/', 'https://www.betterhelp.com/advice/tests/will-an-anxiety-test-help-and-should-you-take-one/']"
therapy,"['https://www.betterhelp.com/advice/therapy/what-is-cognitive-behavior-therapy/', 'https://www.betterhelp.com/advice/therapy/what-not-to-say-to-your-therapist-how-to-make-the-most-of-your-therapy-sessions/', 'https://www.betterhelp.com/advice/therapy/therapy-apps-for-you/', 'https://www.betterhelp.com/advice/therapy/thera-link-review-is-it-a-worthwhile-therapy-service/', 'https://www.betterhelp.com/advice/therapy/talkspace-review-how-does-it-hold-up/', 'https://www.betterhelp.com/advice/therapy/relationship-hero-reviews-will-it-save-it/', 'https://www.betterhelp.com/advice/therapy/regain-reviews-is-this-app-right-for-you/', 'https://www.betterhelp.com/advice/therapy/online-therapy-reviews-are-they-legit/', 'https://www.betterhelp.com/advice/therapy/breakthrough-review-does-it-hold-up/', 'https://www.betterhelp.com/advice/therapy/7-cups-of-tea-review-should-you-use-it/', 'https://www.betterhelp.com/advice/therapy/what-you-need-to-know-when-choosing-an-out-of-network-therapist/', 'https://www.betterhelp.com/advice/therapy/how-effective-is-tms-the-tms-therapy-success-rate/']"
time-management,"['https://www.betterhelp.com/advice/time-management/time-management-tools-to-help-you-boost-productivity/', 'https://www.betterhelp.com/advice/time-management/the-time-management-matrix-making-the-best-use-of-your-time/', 'https://www.betterhelp.com/advice/time-management/define-time-management-to-regain-control-of-your-schedule/', 'https://www.betterhelp.com/advice/time-management/10-time-management-apps-to-help-you-enhance-your-life/', 'https://www.betterhelp.com/advice/time-management/types-and-examples-of-time-management-activities/', 'https://www.betterhelp.com/advice/time-management/why-is-time-management-important-7-reasons-you-shouldnt-ignore/', 'https://www.betterhelp.com/advice/time-management/8-tips-to-improve-your-time-management-skills/', 'https://www.betterhelp.com/advice/time-management/66-time-management-quotes-to-change-your-life/', 'https://www.betterhelp.com/advice/time-management/13-most-successful-time-management-strategies/', 'https://www.betterhelp.com/advice/time-management/6-tips-for-time-management-for-college-students/', 'https://www.betterhelp.com/advice/time-management/12-time-management-games-and-why-people-love-them/', 'https://www.betterhelp.com/advice/time-management/10-time-management-tips-that-work/']"
trauma,"['https://www.betterhelp.com/advice/trauma/better-health-is-possible-when-healing-past-trauma-with-professional-help/', 'https://www.betterhelp.com/advice/trauma/fight-flight-freeze-how-to-recognize-it-and-what-to-do-when-it-happens/', 'https://www.betterhelp.com/advice/trauma/post-traumatic-growth-is-it-really-possible-to-change-for-the-better-after-trauma/', 'https://www.betterhelp.com/advice/trauma/what-is-trauma-therapy-and-how-does-it-work/', 'https://www.betterhelp.com/advice/trauma/what-it-means-to-suffer-from-psychological-trauma-and-what-you-can-do-about-it/', 'https://www.betterhelp.com/advice/trauma/what-to-do-when-childhood-trauma-holds-you-back/', 'https://www.betterhelp.com/advice/trauma/my-phobia-what-does-drowning-feel-like/', 'https://www.betterhelp.com/advice/trauma/fear-of-being-buried-alive-understanding-phobias/', 'https://www.betterhelp.com/advice/trauma/the-truth-about-why-do-bullies-bully/', 'https://www.betterhelp.com/advice/trauma/what-abusers-hope-we-never-learn-about-traumatic-bonding/', 'https://www.betterhelp.com/advice/trauma/developmental-trauma-disorder-is-not-as-complex-as-it-sounds/', 'https://www.betterhelp.com/advice/trauma/healing-from-trauma-how-to-move-on/']"
visualization,"['https://www.betterhelp.com/advice/visualization/what-is-information-visualization-and-what-can-it-help-me-with/', 'https://www.betterhelp.com/advice/visualization/using-visualization-tools-to-better-your-life/', 'https://www.betterhelp.com/advice/visualization/what-is-spatial-visualization/', 'https://www.betterhelp.com/advice/visualization/the-visualization-definition-and-how-it-transforms-your-life/', 'https://www.betterhelp.com/advice/visualization/what-is-creative-visualization/', 'https://www.betterhelp.com/advice/visualization/what-is-visualization-meditation-and-what-are-the-benefits/']"
willpower,"['https://www.betterhelp.com/advice/willpower/self-control-definition-and-how-to-have-it/', 'https://www.betterhelp.com/advice/willpower/ego-depletion-what-it-is-and-how-to-prevent-it/', 'https://www.betterhelp.com/advice/willpower/what-is-ego-psychology-and-how-can-it-help/', 'https://www.betterhelp.com/advice/willpower/willpower-definition-and-how-to-increase-it/', 'https://www.betterhelp.com/advice/willpower/how-using-a-self-control-app-can-help-you-change/', 'https://www.betterhelp.com/advice/willpower/19-ways-how-to-increase-willpower/']"
wisdom,"['https://www.betterhelp.com/advice/wisdom/countering-the-abstinence-violation-effect-supporting-recovery-through-relapse/', 'https://www.betterhelp.com/advice/wisdom/wisdom-definition-synonyms-and-meaning/', 'https://www.betterhelp.com/advice/wisdom/practical-wisdom-that-my-parents-taught-me/', 'https://www.betterhelp.com/advice/wisdom/words-of-wisdom-worth-living-by/', 'https://www.betterhelp.com/advice/wisdom/whats-the-best-way-to-define-ego/', 'https://www.betterhelp.com/advice/wisdom/conventional-wisdom-what-it-means-and-when-to-use-it/', 'https://www.betterhelp.com/advice/wisdom/the-wisdom-of-insecurity-what-you-learn-by-gaining-confidence/', 'https://www.betterhelp.com/advice/wisdom/why-wisdom-is-the-principal-thing-in-life/', 'https://www.betterhelp.com/advice/wisdom/knowledge-vs-wisdom-whats-the-difference-and-why-does-it-matter/']"
worry,"['https://www.betterhelp.com/advice/worry/what-to-do-when-you-worry-about-yourself-too-much/', 'https://www.betterhelp.com/advice/worry/when-anxiety-is-more-than-a-worry-synonym/', 'https://www.betterhelp.com/advice/worry/why-should-i-worry-healthy-reasons-to-worry/', 'https://www.betterhelp.com/advice/worry/would-a-worry-stone-help-me-cope/', 'https://www.betterhelp.com/advice/worry/dont-worry-about-tomorrow-make-progress-today/', 'https://www.betterhelp.com/advice/worry/18-tips-for-living-worry-free/', 'https://www.betterhelp.com/advice/worry/19-ways-how-to-make-him-worry-about-losing-you/', 'https://www.betterhelp.com/advice/worry/do-you-feel-stuck-thinking-everyday-i-worry-all-day/', 'https://www.betterhelp.com/advice/worry/ways-to-stop-being-a-worry-wart-and-calm-down/']"
